WellID	Well Number	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity	Intensity Ratio
B8	32	1488.0	157408.0	105.78494623655914	1119.0	129337.0	115.58266309204647	0.9152319509398678
G10	154	2299.0	306510.0	133.32318399304046	1562.0	222408.0	142.38668373879642	0.9363458751354681
B1	25	1609.6666666666667	188234.0	116.24526789194988	1049.6666666666667	129691.0	122.89264283191608	0.9459090895371336
P20	380	1613.3333333333333	200863.66666666666	117.46976531078597	829.6666666666666	114955.66666666667	122.28867286961757	0.9605939990536209
C1	49	1643.0	191688.0	112.7340454951254	1052.5	129789.0	117.28784421715184	0.9611741629968461
A5	5	6834.666666666667	886334.3333333334	123.65957737390772	3580.0	465362.6666666667	126.87059979091748	0.9746905711622589
K20	260	2382.5	365889.5	134.67142852223006	1285.5	197241.0	137.31158556028032	0.9807725107296847
O24	360	3733.3333333333335	454085.0	133.43624364461152	2189.6666666666665	282419.6666666667	135.26750496647495	0.9864619272580115
A10	10	3637.3333333333335	542833.6666666666	153.08351114766447	2567.3333333333335	395808.0	154.82056113778853	0.9887802370863511
J6	222	515949.6666666667	77228664.33333333	150.2557851429707	376518.0	56613023.333333336	150.83719430901593	0.9961454522625626
A1	1	216535.66666666666	32102161.666666668	147.37094425191128	144355.66666666666	21281627.333333332	147.74502330186007	0.9974680768151188
P8	368	2822.5	434551.5	151.3969583331214	1890.5	285343.5	151.43922554411395	0.9997208965455239
B6	30	822.0	84504.0	102.8029197080292	278.0	28482.0	102.45323741007195	1.0034130917362585
D13	85	714.5	74165.0	103.64774814897288	184.0	19044.5	103.23295454545455	1.004018034796589
C17	65	354010.6666666667	56267304.666666664	158.9084283751263	286704.3333333333	45015341.0	156.97577890343277	1.0123117686384118
G8	152	2224.5	313721.0	132.91423030663992	1414.5	193467.0	131.1577288934974	1.0133922829250028
C23	71	10777.333333333334	1626359.0	147.27186496134445	7587.0	1114542.3333333333	144.46929427020396	1.0193990751134894
N23	335	4374.666666666667	630124.3333333334	137.08160405462684	2744.6666666666665	383805.3333333333	133.69861718920563	1.0253030804397454
I17	209	5906.666666666667	867404.6666666666	146.2092882992573	3862.6666666666665	556937.0	142.4603051613759	1.0263159841868557
A17	17	739339.0	117569002.66666667	158.59540806418224	531094.3333333334	81524075.33333333	153.7499907889298	1.0315149109953723
B17	41	626633.3333333334	100807802.33333333	160.96508217927527	490886.3333333333	76371317.33333333	155.74786829997683	1.0334978188545725
B3	27	2147.0	286254.3333333333	121.44995509032799	1332.0	170899.66666666666	117.50663344507535	1.0335582896866484
A18	18	527203.0	85112478.33333333	161.11194094286597	414318.3333333333	64432755.0	155.55192596116706	1.0357437874673885
F17	137	376675.3333333333	61054997.0	162.2904020548414	301760.3333333333	47092289.333333336	156.1425179606715	1.0393735426741253
A21	21	390655.0	58740394.666666664	149.5325616508838	255723.0	36760671.0	143.85913328566707	1.039437387363865
B9	33	159464.33333333334	25485274.0	159.5460752228839	125103.0	19232701.333333332	153.3638737268319	1.0403106764704155
G19	163	3149.6666666666665	472439.6666666667	140.30139979376895	2024.6666666666667	285487.0	134.57124838845974	1.042580799940031
N21	333	994.5	131995.0	127.68733763155399	499.0	66256.0	122.35260325770797	1.0436013148213088
G1	145	181723.66666666666	28379654.333333332	153.98702107718842	120073.0	17699712.333333332	146.97179329206597	1.0477317968841926
E17	113	395448.6666666667	64501613.0	163.0968615795706	312496.3333333333	48612076.0	155.60606914566583	1.0481394618798094
