	Well ID	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
A1 - 1	A1	1	1	131415	18669493	142.06515998934674	87203	12955726	148.56972810568445
A1 - 2	A1	1	2	371004	55486785	149.558454895365	245643	36076526	146.86567905456292
A1 - 3	A1	1	3	147188	22150207	150.4892178710221	100221	14812630	147.79966274533282
A2 - 1	A2	2	1	1307	223980	171.36954858454476	947	143728	151.77191129883843
A2 - 3	A2	2	3	3922	504484	128.62927078021417	3111	398327	128.03825136612022
A3 - 1	A3	3	1	169748	28293916	166.68188137710018	123929	18273405	147.45059671263385
A3 - 2	A3	3	2	420343	71060660	169.0539868631094	281977	40902363	145.0556712072261
A3 - 3	A3	3	3	298961	49852096	166.75116821257623	201919	29339265	145.30215086247455
A4 - 1	A4	4	1	99011	17017819	171.878064053489	65563	9460896	144.30236566356024
A4 - 2	A4	4	2	203725	35412654	173.82576512455515	140485	20236483	144.04728618713742
A4 - 3	A4	4	3	92396	16054232	173.75462141218236	65491	9603061	146.631766196882
A5 - 1	A5	5	1	843	88345	104.79833926453144	304	36130	118.84868421052632
A5 - 2	A5	5	2	7698	1107606	143.88230709275138	4707	643334	136.67601444656893
A5 - 3	A5	5	3	11963	1463052	122.29808576444036	5729	716624	125.08710071565719
A6 - 1	A6	6	1	180327	31838419	176.55935605871557	126290	18486912	146.38460685723336
A6 - 2	A6	6	2	236402	40849743	172.79778935880407	165739	23805905	143.63490186377376
A6 - 3	A6	6	3	60615	10319601	170.24830487503093	43490	6377606	146.64534375718557
A7 - 1	A7	7	1	82045	14069850	171.48942653421904	60335	8822836	146.23081130355516
A7 - 2	A7	7	2	189819	32128518	169.25870434466518	137941	20054391	145.383830768227
A7 - 3	A7	7	3	504620	85047551	168.53781261147003	378103	55677319	147.25436984102217
A8 - 1	A8	8	1	147881	23986930	162.20427235412257	114834	17174144	149.5562638243029
A8 - 2	A8	8	2	146222	24657882	168.6331878923828	111854	16571403	148.1520821785542
A8 - 3	A8	8	3	248034	41131433	165.82981768628494	198138	29707304	149.93239055607708
A9 - 1	A9	9	1	105458	17275490	163.8139354055643	82450	12391464	150.29064887810793
A9 - 2	A9	9	2	271792	43954708	161.721860834756	213117	31976792	150.04336585068296
A9 - 3	A9	9	3	57469	9125091	158.78283944387408	44485	6746427	151.6562211981567
10 - 1	10	10	1	5325	724772	136.10741784037558	3556	491583	138.2404386951631
10 - 2	10	10	2	2810	541612	192.74448398576513	2633	475511	180.59665780478542
10 - 3	10	10	3	2777	362117	130.39863161685273	1513	220330	145.62458691341706
11 - 1	11	11	1	100257	16472131	164.29906141217072	77748	11839629	152.28210371970982
11 - 2	11	11	2	684331	110893572	162.04668793317853	522017	78604352	150.5781459224508
11 - 3	11	11	3	798285	135076339	169.2081637510413	583956	87730017	150.23395084561164
12 - 1	12	12	1	486001	83207522	171.20854072316723	359987	54191076	150.53620269620848
12 - 2	12	12	2	916799	153715894	167.6658613283828	674288	101275409	150.19607200484066
12 - 3	12	12	3	1188793	202403116	170.25934372090012	809705	120619536	148.96726091601263
13 - 1	13	13	1	346618	60660084	175.005579629448	257573	38667768	150.12353002838032
13 - 2	13	13	2	207704	36150613	174.04870873935985	157562	23513366	149.23246721925338
13 - 3	13	13	3	877999	152209293	173.35930109259806	643364	95865684	149.00691366007425
14 - 1	14	14	1	191157	33311979	174.26502299157238	141124	21059194	149.2247526997534
14 - 2	14	14	2	114597	19746217	172.31006919901918	85888	12547713	146.09390135991057
14 - 3	14	14	3	504190	88463352	175.45637953945933	362329	54036554	149.1367072467288
15 - 1	15	15	1	97950	17093018	174.50758550280756	69300	9900593	142.86569985569986
15 - 2	15	15	2	208906	35166115	168.334633758724	161483	24168777	149.66762445582506
15 - 3	15	15	3	545699	96426509	176.70274088829188	375098	54270012	144.68222171272575
16 - 1	16	16	1	277171	48263466	174.12884464824964	187855	26778637	142.54950360650503
16 - 2	16	16	2	573233	100307107	174.98487874912993	378022	54278515	143.58559819269777
16 - 3	16	16	3	123075	21481808	174.54241722526913	82732	12120481	146.50293719479765
17 - 1	17	17	1	542813	85871874	158.1978950393598	428059	66486148	155.32005634737268
17 - 2	17	17	2	965455	156414142	162.01080526798245	612061	92040555	150.37807506114586
17 - 3	17	17	3	709749	110420992	155.5775238852045	553163	86045523	155.5518409582709
18 - 1	18	18	1	574912	95186896	165.56776689302015	451059	70013473	155.22021065980283
18 - 2	18	18	2	490846	74013225	150.78705948505234	389934	61611111	158.00394682176983
18 - 3	18	18	3	515851	86137314	166.98099645052545	401962	61673681	153.43162040192854
19 - 1	19	19	1	302526	54450568	179.98640777982718	231330	34955711	151.1075563048459
19 - 2	19	19	2	392185	69542120	177.3196833127223	298221	45051741	151.0683050489402
19 - 3	19	19	3	341597	59896413	175.34232736235975	266197	39984281	150.20560336893354
20 - 1	20	20	1	407169	75444077	185.28934422807237	300052	44320527	147.70948702224948
20 - 2	20	20	2	541416	98496989	181.9247842693973	399935	58591643	146.50291422356133
20 - 3	20	20	3	399181	73573216	184.31041557589162	292016	43340301	148.41755588734864
21 - 1	21	21	1	477310	71624353	150.0583541094886	312751	45587853	145.76405191350307
21 - 2	21	21	2	247252	35788126	144.74352482487504	168304	24402066	144.98803355832302
21 - 3	21	21	3	447403	68808705	153.79580601828775	286114	40292094	140.82531438517515
22 - 1	22	22	1	290342	44235516	152.3565863705561	214614	28683276	133.65053537979816
22 - 2	22	22	2	298066	46816910	157.0689377520415	220326	29956923	135.96635440211324
22 - 3	22	22	3	481681	74098908	153.83398556305937	343266	45938416	133.8274574236889
23 - 1	23	23	1	347380	66195272	190.55579480683977	252625	38309086	151.64408114794657
23 - 2	23	23	2	377491	69638672	184.47770145513402	265335	40108829	151.16297887576084
23 - 3	23	23	3	335781	63244748	188.35118127589112	237998	35692703	149.97060059328228
24 - 1	24	24	1	337981	66266433	196.0655569395913	253223	38571698	152.3230433254483
24 - 2	24	24	2	405825	51924971	127.94916774471756	325239	47953685	147.44137388197603
24 - 3	24	24	3	632454	119564056	189.04782956547038	452332	67641061	149.53852701113343
B1 - 1	B1	25	1	1332	138133	103.70345345345345	872	92938	106.5802752293578
B1 - 2	B1	25	2	2295	277248	120.80522875816993	1454	185330	127.46217331499312
B1 - 3	B1	25	3	1202	149321	124.22712146422629	823	110805	134.63547995139731
B2 - 1	B2	26	1	245404	37677902	153.5341803719581	159002	23170823	145.72661350171697
B2 - 2	B2	26	2	158165	24574906	155.37512091802864	104120	15323255	147.16917979254706
B2 - 3	B2	26	3	279406	44684919	159.92827283594482	184094	26990487	146.61252946864101
B3 - 1	B3	27	1	3569	559067	156.6452787895769	2633	358194	136.0402582605393
B3 - 2	B3	27	2	2215	232069	104.77155756207675	1231	141055	114.58570268074736
B3 - 3	B3	27	3	657	67627	102.93302891933028	132	13450	101.89393939393939
B4 - 1	B4	28	1	1186	203966	171.97807757166947	759	109970	144.88801054018447
B4 - 2	B4	28	2	2134	335716	157.31771321462043	1435	212966	148.40836236933796
B5 - 1	B5	29	1	39591	6871934	173.57313530852971	28328	4148835	146.4570389720418
B5 - 2	B5	29	2	132640	23459707	176.86751357056696	91510	13517470	147.7157687684406
B5 - 3	B5	29	3	783829	139990054	178.59769669149776	510200	75179104	147.35222265778125
B6 - 1	B6	30	1	822	84504	102.8029197080292	278	28482	102.45323741007195
B7 - 2	B7	31	2	3710	580666	156.51374663072775	2707	369273	136.41411156261543
B8 - 2	B8	32	2	1488	157408	105.78494623655914	1119	129337	115.58266309204647
B9 - 1	B9	33	1	176212	27806785	157.8030156856514	136559	20911022	153.1281131232654
B9 - 2	B9	33	2	188084	30614021	162.76781119074457	149847	23351154	155.8333099761757
B9 - 3	B9	33	3	114097	18035016	158.06739879225572	88903	13435928	151.13019808105463
10 - 1	10	34	1	744877	122344785	164.2483054249225	557802	83465809	149.63339858946364
10 - 2	10	34	2	147328	24827378	168.51771557341442	108682	16511088	151.92109088901566
10 - 3	10	34	3	1074611	180754459	168.20454936716635	703694	101167252	143.76597214130004
11 - 1	11	35	1	611006	102880713	168.3792188620079	449865	67167805	149.30658086314784
11 - 2	11	35	2	44979	7506388	166.8865025900976	34982	5424118	155.05454233605855
11 - 3	11	35	3	1005223	163611766	162.7616618402086	720908	106883575	148.2624343189422
12 - 1	12	36	1	552710	95151606	172.15466700439652	398559	60466269	151.71221575726554
12 - 2	12	36	2	1020776	174585293	171.0319335485944	691320	103316659	149.44838714343575
12 - 3	12	36	3	1127383	188472303	167.17681834833414	738093	110102093	149.17102993796175
13 - 1	13	37	1	446714	77266160	172.9656111068827	325518	48448224	148.8342395812213
13 - 2	13	37	2	78704	13561575	172.31112776987192	57169	8486134	148.43943395896378
13 - 3	13	37	3	228968	39253063	171.43471140071975	168780	25030689	148.30364379665838
14 - 1	14	38	1	605623	106901643	176.51516372396688	418193	62391875	149.19397263942724
14 - 2	14	38	2	84885	15074861	177.5915768392531	62120	9231838	148.61297488731486
14 - 3	14	38	3	907294	158492318	174.68683579964159	621080	91806464	147.81745346815225
15 - 1	15	39	1	83469	14597860	174.8895997316369	64141	9369348	146.0742426840866
15 - 2	15	39	2	238206	42896423	180.08120282444608	170824	24922390	145.89513183159275
15 - 3	15	39	3	686915	123264092	179.44591688928034	466699	67733074	145.1322458372527
16 - 1	16	40	1	206905	37225474	179.91577777240764	147951	21801175	147.3540226155957
16 - 2	16	40	2	592219	108202543	182.7069766420868	403474	60156323	149.0959095257687
16 - 3	16	40	3	92515	16099317	174.01845106198994	64562	9634473	149.22823022830767
17 - 1	17	41	1	641008	103265044	161.09790205426452	501218	78321255	156.26185611849536
17 - 2	17	41	2	475380	76781217	161.51545500441753	373238	58462342	156.63555693686067
17 - 3	17	41	3	763512	122377146	160.28188947914376	598203	92330355	154.3461918445745
18 - 1	18	42	1	348386	59682079	171.3102105136257	271396	42280253	155.78804772362156
18 - 2	18	42	2	719752	123125238	171.06619780146494	536767	82820015	154.29416301672794
18 - 3	18	42	3	749217	127604463	170.31709504722932	576542	88512608	153.52326109806398
19 - 1	19	43	1	409242	71029055	173.5624764809086	309995	47320461	152.6491104695237
19 - 2	19	43	2	572281	101399726	177.18520447123004	415637	62216431	149.68934671359864
19 - 3	19	43	3	626170	111293554	177.73696280562785	460289	69178571	150.2937741288625
20 - 1	20	44	1	322674	60531354	187.59290801242122	232016	34590090	149.08493379766912
20 - 2	20	44	2	470770	86593666	183.94049323448817	345992	51241608	148.10055723831766
20 - 3	20	44	3	397572	73295588	184.35802320082902	285173	42130672	147.73724020156186
21 - 1	21	45	1	509522	94606371	185.6767146462763	348956	52133956	149.39979825536744
21 - 2	21	45	2	453987	82810313	182.4067935866005	310960	45655471	146.82104129148445
21 - 3	21	45	3	669236	123300197	184.24023363955317	463464	68749886	148.33921512782007
22 - 1	22	46	1	395835	71352902	180.25920396124647	282963	41657901	147.220311489488
22 - 2	22	46	2	615703	110363594	179.24810176335018	415212	61344883	147.7435213818483
22 - 3	22	46	3	676271	118931254	175.8633062781045	452949	65068869	143.65606061609586
23 - 1	23	47	1	401496	72741267	181.17557086496504	287743	42442708	147.50213906159317
23 - 2	23	47	2	567653	101712417	179.18062090749103	390643	56844237	145.51454140993184
23 - 3	23	47	3	773487	136207294	176.09513023489728	570363	84653272	148.41999218041843
24 - 1	24	48	1	30005	5213004	173.7378436927179	21284	3099694	145.6349370419094
24 - 2	24	48	2	36018	6286359	174.53381642512076	25230	3549144	140.67158145065397
24 - 3	24	48	3	28944	4766560	164.68214483139857	22148	3089474	139.4922340617663
C1 - 1	C1	49	1	972	100211	103.0977366255144	465	49518	106.49032258064516
C1 - 2	C1	49	2	2314	283165	122.37035436473639	1640	210060	128.08536585365854
C2 - 1	C2	50	1	66045	10110001	153.07746233628586	44361	6480233	146.07950677396812
C2 - 2	C2	50	2	28871	4537460	157.16324339302415	19628	2941195	149.84690238434888
C2 - 3	C2	50	3	545761	89275561	163.5799571607352	362296	53524783	147.7377144655199
C3 - 1	C3	51	1	106256	17118802	161.10903854841138	71633	10590391	147.84234919659934
C3 - 2	C3	51	2	117741	19411778	164.86846553027408	79264	11570351	145.972332963262
C3 - 3	C3	51	3	476236	82670562	173.59158484448886	324933	47945111	147.55383725260285
C4 - 1	C4	52	1	119332	20774125	174.08679147253042	81191	11890792	146.45455777118153
C4 - 2	C4	52	2	257918	44203538	171.3860141595391	178799	25975696	145.27875435544942
C4 - 3	C4	52	3	235362	41147574	174.82675198205317	162581	23665616	145.56200294007294
C5 - 1	C5	53	1	86521	15541239	179.62389477699057	57230	8298124	144.99605102219115
C5 - 2	C5	53	2	81025	14770822	182.29956186362233	58920	8634087	146.5391547861507
C5 - 3	C5	53	3	1089467	191176974	175.47752616646488	712343	104580165	146.81152899656485
C6 - 1	C6	54	1	320723	56340741	175.66791592745142	218071	32053225	146.98527085215366
C6 - 2	C6	54	2	97437	16879454	173.2345412933485	66238	9669954	145.9880129230955
C6 - 3	C6	54	3	112206	19684154	175.4287114771046	75630	11056366	146.19021552294063
C7 - 1	C7	55	1	181030	31886420	176.13887201016405	129835	19286137	148.54343589941078
C7 - 2	C7	55	2	117254	19968682	170.30277858324663	91047	13702392	150.49800652410295
C7 - 3	C7	55	3	169381	28768360	169.84407932412725	131860	19880807	150.77208402851508
C8 - 1	C8	56	1	121419	20484483	168.70904059496453	88976	13462537	151.3052620931487
C8 - 2	C8	56	2	489150	83141072	169.97050393539814	353253	53022671	150.09828932804533
C8 - 3	C8	56	3	562791	93914421	166.87264188659734	415790	63134644	151.84262247769306
C9 - 1	C9	57	1	100354	16580529	165.2204097494868	76918	11600090	150.81112353415327
C9 - 2	C9	57	2	177207	29324124	165.47949008786335	141056	21566648	152.89422640653356
C9 - 3	C9	57	3	855955	140635891	164.30290260586128	646790	96746790	149.57991001716167
10 - 1	10	58	1	156158	25772897	165.04371854147723	116945	17792496	152.1441361323699
10 - 2	10	58	2	107928	17378652	161.02079163887035	79817	12079554	151.34061666061115
10 - 3	10	58	3	1054515	174321413	165.30956221580536	741504	110650473	149.2243777511652
11 - 1	11	59	1	1029600	172837202	167.86830031080032	715204	107354547	150.1033928781159
11 - 2	11	59	2	149600	24272207	162.2473729946524	112436	17123246	152.29326905973176
11 - 3	11	59	3	1174653	194382717	165.48096927347905	763277	113245850	148.3679581593576
12 - 1	12	60	1	1118253	190192152	170.07971541323832	778193	115976713	149.03335419362548
12 - 2	12	60	2	891523	151889338	170.3706331749153	637935	95717544	150.04278492322885
12 - 3	12	60	3	815189	139272281	170.84661471143502	579544	86635992	149.489930013942
13 - 1	13	61	1	314230	55268049	175.88406262928427	225147	33738269	149.8499602481934
13 - 2	13	61	2	376510	65989115	175.26523863907997	269675	40806071	151.31573560767592
13 - 3	13	61	3	1168909	201193437	172.12070144040297	754702	112892358	149.58534361907084
14 - 1	14	62	1	79545	13768094	173.08559934628198	58119	8642579	148.7048813640978
14 - 2	14	62	2	168873	29393342	174.05589999585487	119190	17504760	146.86433425622954
14 - 3	14	62	3	187910	31907040	169.79958490766856	134926	19721429	146.16477921230896
15 - 1	15	63	1	87014	15363548	176.56409313443814	56924	8238060	144.720328859532
15 - 2	15	63	2	85983	15113784	175.7764209204145	59635	8642338	144.92056678125263
15 - 3	15	63	3	103242	17927512	173.6455318571899	71779	10483607	146.05395728555706
16 - 1	16	64	1	142732	25649758	179.7057282179189	99217	14695542	148.11516171623813
16 - 2	16	64	2	582374	103943744	178.48280314711852	383280	56919890	148.5073314548111
16 - 3	16	64	3	171802	30396750	176.92896473847802	118021	17376903	147.23568686928598
17 - 1	17	65	1	354265	56058144	158.23788406983473	290442	45445360	156.4696565923661
17 - 2	17	65	2	339800	53672687	157.95375809299588	271233	42327085	156.0543333591414
17 - 3	17	65	3	367967	59071083	160.53364296254827	298438	47273578	158.40334675879078
18 - 1	18	66	1	434126	73162361	168.5279411967954	339918	52839973	155.44917597773582
18 - 2	18	66	2	446464	76246350	170.77827103641056	351034	54170900	154.3181002410023
18 - 3	18	66	3	524330	90290806	172.20225049110294	409036	63404665	155.00998689601894
19 - 1	19	67	1	387008	65668523	169.68259829254177	304700	46976595	154.17326878897276
19 - 2	19	67	2	846219	151497796	179.02906458020914	596923	89944895	150.68090021661087
19 - 3	19	67	3	522625	94375885	180.58050227218368	392144	58164342	148.32393712513772
20 - 1	20	68	1	278391	50156508	180.16569501169218	214044	31525322	147.2843060305358
20 - 2	20	68	2	523604	93400283	178.3796208585114	396607	58072545	146.42339898186367
20 - 3	20	68	3	294056	53601026	182.28169464319723	224931	32738832	145.5505555036878
21 - 1	21	69	1	318320	57936799	182.0080390801709	220812	33335648	150.96846185895694
21 - 2	21	69	2	761059	141621219	186.08441526872423	510298	77992958	152.83806324931706
21 - 3	21	69	3	357018	66542222	186.38338123007804	255997	38249675	149.41454392043656
22 - 1	22	70	1	393800	74372908	188.859593702387	274885	41790723	152.02984157011113
22 - 2	22	70	2	931821	173248712	185.9246851866558	605809	92251959	152.27895095648958
22 - 3	22	70	3	594535	112180625	188.68632628861212	411509	62191088	151.12935075539053
23 - 1	23	71	1	2533	351552	138.78878799842084	1843	246509	133.7542051003798
23 - 2	23	71	2	22267	3392755	152.36695558449725	15434	2255097	146.1122845665414
23 - 3	23	71	3	7532	1134770	150.65985130111525	5484	842021	153.54139314369073
24 - 1	24	72	1	641276	117197344	182.75647926945652	438886	64506988	146.9789147979202
24 - 2	24	72	2	578544	106398564	183.90747116900357	391850	58069714	148.19373229552124
24 - 3	24	72	3	917862	166795683	181.7219614713323	606102	89328955	147.3827095109404
D1 - 1	D1	73	1	128570	19099291	148.55169168546317	89546	13119080	146.5065999597972
D1 - 2	D1	73	2	202859	31004730	152.83881908123377	140056	20375326	145.47985091677614
D1 - 3	D1	73	3	973097	156382589	160.70606424642148	641499	94314412	147.02191585645497
D2 - 1	D2	74	1	152479	24058592	157.78298650961773	102263	15096908	147.6282526426958
D2 - 2	D2	74	2	192913	29885448	154.91671375179484	128541	18819295	146.40694408787857
D2 - 3	D2	74	3	203641	33047159	162.28146100245038	143269	20927339	146.07025246215161
D3 - 1	D3	75	1	50776	8689407	171.13216874113755	36662	5515670	150.4465113741749
D3 - 2	D3	75	2	62572	10813339	172.81434187815637	43995	6624338	150.57024661893396
D3 - 3	D3	75	3	151271	26403324	174.54319730814234	104684	15640065	149.4026307745214
D4 - 1	D4	76	1	191024	33267580	174.15392830220287	133066	19724607	148.23175717313214
D4 - 2	D4	76	2	171288	29050508	169.60036896922142	113969	16445522	144.29820389755108
D4 - 3	D4	76	3	699818	120420229	172.07363771723504	462075	67536190	146.15850240761782
