ORF	Gene	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Cell Count
YPL234C	VMA11	191440.03978431373	128.94444495331464	156692.54762558357	106.48980560224089	2142
YOR187W	TUF1	119028.78881751825	132.8820999270073	121038.05826277373	137.6313004379562	137
YMR314W	PRE5	126624.10335064935	136.35106675324676	173719.38935064935	177.72072142857144	77
YNL323W	LEM3	153046.99053679654	138.80780037296037	119458.46519080919	108.72696691974693	3003
YMR272C	SCS7	157843.4476985377	139.17396648668915	123874.80244694413	110.18202714285715	2667
YGL176C	YGL176C	149214.4514152124	140.49504751070137	109401.26539677313	103.44260052683569	3037
YDR088C	SLU7	126922.19672131147	140.49717672131146	156798.63878688525	179.42263819672132	61
YIL034C	CAP2	150985.30944502278	140.62645636955108	124260.22937020169	115.62755058230319	3074
YNL268W	LYP1	127036.47504918033	143.13107573770492	106225.88524590163	121.49521836065573	61
YJL139C	YUR1	134856.18679120878	143.61047197802196	104658.75789010989	110.93049010989012	91
YNL326C	PFA3	157353.96938844558	143.80013221193744	114775.63809320141	105.37626193744015	3133
YLR071C	RGR1	156434.7126727559	143.96724170708663	112689.41539779528	103.99850653858267	3175
YFL068W	YFL068W	148712.84380392157	144.50713862745098	133781.568627451	131.0852325490196	51
YOR087W	YVC1	157135.2839236779	144.80605692608174	122140.57212860578	113.43577158954326	3328
YDR475C	JIP4	289523.87395083584	146.0653079154376	214209.39217502458	110.44618163225172	1017
YLL060C	GTT2	158786.60763664122	147.89684962748092	129520.58697160306	120.3031965557252	3275
YJL091C	GWT1	152059.37805405408	148.02785045045047	127688.05427027027	125.51369621621622	111
YPL039W	YPL039W	159211.5484945783	148.05892052108433	109532.23824939759	102.17546660240963	3320
YNR026C	SEC12	168881.5995288816	149.05236468660385	127311.99841622286	113.65449648504712	2441
YOR254C	SEC63	223146.0481265823	149.9892530987342	160444.36148962023	109.1716990835443	1975
YML074C	FPR3	172018.71133360488	150.1307623095723	165090.18033645622	142.29339844806518	2455
YMR266W	RSN1	167839.65363298412	150.25763109834404	115471.35418384589	103.98661194322406	2959
YOR153W	PDR5	169111.29708529048	150.43736936135147	126827.49898640298	112.21537558302431	2427
YNL006W	LST8	175272.93080840938	151.4033206743356	118420.16737961126	103.03176804442681	2521
YPL200W	CSM4	250939.74091927512	151.96051586490938	163447.22560461285	102.9389312520593	1821
YPL085W	SEC16	163975.26077886357	152.20778630836048	117376.57078175896	109.69128080709375	2763
YMR104C	YPK2	158932.4011918895	152.91167854246254	112181.25447957685	108.2075459124302	3403
YPR185W	ATG13	155516.57640797645	153.19508205622753	110497.22587708401	109.16890952925793	3059
YKL212W	SAC1	142072.5370149254	153.39656000000002	107717.03053731343	116.67504358208956	67
YJL134W	LCB3	144405.02260674158	153.60681112359552	113192.14604494382	122.01889606741572	89
YIL102C	YIL102C	145889.21340983605	153.72089098360655	190831.93504918035	202.12807524590164	61
YPR139C	LOA1	159052.9852352941	153.9453755882353	127921.79397058825	128.50129455882353	68
YPL045W	VPS16	141783.2775949367	153.99880088607594	111732.9617721519	121.53702202531646	79
YOR086C	TCB1	170570.62928479334	154.67665881683732	132049.42618202502	120.45166483883202	2637
YMR274C	RCE1	172842.10478312458	155.23854331905076	115050.34372709294	104.1259943144364	3034
YPL145C	KES1	174186.03003058105	155.46820953254695	140986.19123634775	126.08831042376583	2289
YNL251C	NRD1	168311.3300405977	155.81385228361995	111604.72400281928	104.01148948689033	3547
YLR347C	KAP95	172538.67038510504	156.21771672183323	126470.07926734565	114.53210007320179	3142
YPR183W	DPM1	168905.61682933077	156.24188715978224	139301.1289811079	129.4280439545309	3123
YFR052W	RPN12	167788.43631879304	157.2597524335848	120129.18627681208	112.7450683568383	3049
YBR289W	SNF5	177210.4816165803	158.1227021354552	117019.27608512212	104.77624779052553	2702
YOR388C	FDH1	175952.45226470588	158.1924407257033	165061.37585997442	147.49713991048594	3128
YNL297C	MON2	178129.58201729108	158.45913601825168	120224.6608712776	107.89654822286263	2082
YOR089C	VPS21	183951.27008349146	158.9336344629981	139444.63994155597	121.79654779886147	2635
YOR157C	PUP1	185587.41675324677	158.97070856060606	142488.60059415584	121.83948061688311	1848
YHR137W	ARO9	175079.2672914573	159.15748151830581	139796.38597846375	126.48852271356785	2786
YKL186C	MTR2	264945.7362689655	159.8320384310345	209159.82615172415	128.23005810344827	580
YKL215C	OXP1	177367.66658601022	159.84599506454518	128101.48159591714	115.69583858901231	3331
YOR342C	YOR342C	173745.4996406098	160.69857784301004	110204.46513720402	102.35143189101524	3083
YNR030W	ALG12	173619.42897494172	160.85840509906762	128888.91256759907	120.21850575466202	3432
YPR088C	SRP54	280496.45907452726	161.11951016685205	185255.9676195773	111.74474042269189	899
