ORF	Gene	WellID	Unnamed: 0	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
YAL002W	VPS8	A1	A1 - 1	1	1	131415	18669493	142.06515998934674	87203	12955726	148.56972810568445
YAL002W	VPS8	A1	A1 - 2	1	2	371004	55486785	149.558454895365	245643	36076526	146.86567905456292
YAL002W	VPS8	A1	A1 - 3	1	3	147188	22150207	150.4892178710221	100221	14812630	147.79966274533282
YBR160W	CDC28	A2	A2 - 1	2	1	1307	223980	171.36954858454476	947	143728	151.77191129883843
YBR160W	CDC28	A2	A2 - 3	2	3	3922	504484	128.62927078021417	3111	398327	128.03825136612022
YAL005C	SSA1	A3	A3 - 1	3	1	169748	28293916	166.68188137710018	123929	18273405	147.45059671263385
YAL005C	SSA1	A3	A3 - 2	3	2	420343	71060660	169.0539868631094	281977	40902363	145.0556712072261
YAL005C	SSA1	A3	A3 - 3	3	3	298961	49852096	166.75116821257623	201919	29339265	145.30215086247455
YBR161W	CSH1	A4	A4 - 1	4	1	99011	17017819	171.878064053489	65563	9460896	144.30236566356024
YBR161W	CSH1	A4	A4 - 2	4	2	203725	35412654	173.82576512455515	140485	20236483	144.04728618713742
YBR161W	CSH1	A4	A4 - 3	4	3	92396	16054232	173.75462141218236	65491	9603061	146.631766196882
YAL008W	FUN14	A5	A5 - 1	5	1	843	88345	104.79833926453144	304	36130	118.84868421052632
YAL008W	FUN14	A5	A5 - 2	5	2	7698	1107606	143.88230709275138	4707	643334	136.67601444656893
YAL008W	FUN14	A5	A5 - 3	5	3	11963	1463052	122.29808576444036	5729	716624	125.0871007156572
YBR162W-A	YSY6	A6	A6 - 1	6	1	180327	31838419	176.55935605871557	126290	18486912	146.38460685723336
YBR162W-A	YSY6	A6	A6 - 2	6	2	236402	40849743	172.79778935880407	165739	23805905	143.63490186377376
YBR162W-A	YSY6	A6	A6 - 3	6	3	60615	10319601	170.24830487503093	43490	6377606	146.64534375718557
YAL009W	SPO7	A7	A7 - 1	7	1	82045	14069850	171.48942653421904	60335	8822836	146.23081130355516
YAL009W	SPO7	A7	A7 - 2	7	2	189819	32128518	169.25870434466518	137941	20054391	145.383830768227
YAL009W	SPO7	A7	A7 - 3	7	3	504620	85047551	168.53781261147003	378103	55677319	147.25436984102217
YBR164C	ARL1	A8	A8 - 1	8	1	147881	23986930	162.20427235412257	114834	17174144	149.5562638243029
YBR164C	ARL1	A8	A8 - 2	8	2	146222	24657882	168.6331878923828	111854	16571403	148.1520821785542
YBR164C	ARL1	A8	A8 - 3	8	3	248034	41131433	165.82981768628494	198138	29707304	149.93239055607708
YAL014C	SYN8	A9	A9 - 1	9	1	105458	17275490	163.8139354055643	82450	12391464	150.29064887810793
YAL014C	SYN8	A9	A9 - 2	9	2	271792	43954708	161.721860834756	213117	31976792	150.04336585068296
YAL014C	SYN8	A9	A9 - 3	9	3	57469	9125091	158.78283944387408	44485	6746427	151.6562211981567
YDL027C	MRX9	B1	B1 - 1	25	1	1332	138133	103.70345345345343	872	92938	106.5802752293578
YDL027C	MRX9	B1	B1 - 2	25	2	2295	277248	120.80522875816992	1454	185330	127.46217331499312
YDL027C	MRX9	B1	B1 - 3	25	3	1202	149321	124.22712146422629	823	110805	134.63547995139731
Control-his3d-SWAT	None	B2	B2 - 1	26	1	245404	37677902	153.5341803719581	159002	23170823	145.72661350171697
Control-his3d-SWAT	None	B2	B2 - 2	26	2	158165	24574906	155.37512091802864	104120	15323255	147.16917979254706
Control-his3d-SWAT	None	B2	B2 - 3	26	3	279406	44684919	159.92827283594482	184094	26990487	146.612529468641
YDL035C	GPR1	B3	B3 - 1	27	1	3569	559067	156.6452787895769	2633	358194	136.0402582605393
YDL035C	GPR1	B3	B3 - 2	27	2	2215	232069	104.77155756207677	1231	141055	114.58570268074736
YDL035C	GPR1	B3	B3 - 3	27	3	657	67627	102.93302891933028	132	13450	101.8939393939394
Control-his3d-GFPdC	None	B4	B4 - 1	28	1	1186	203966	171.97807757166947	759	109970	144.88801054018447
Control-his3d-GFPdC	None	B4	B4 - 2	28	2	2134	335716	157.31771321462045	1435	212966	148.40836236933796
YDL052C	SLC1	B5	B5 - 1	29	1	39591	6871934	173.57313530852971	28328	4148835	146.4570389720418
YDL052C	SLC1	B5	B5 - 2	29	2	132640	23459707	176.86751357056696	91510	13517470	147.7157687684406
YDL052C	SLC1	B5	B5 - 3	29	3	783829	139990054	178.59769669149776	510200	75179104	147.35222265778123
Control-URA+	None	B6	B6 - 1	30	1	822	84504	102.8029197080292	278	28482	102.45323741007196
YDL054C	MCH1	B7	B7 - 2	31	2	3710	580666	156.51374663072775	2707	369273	136.41411156261543
YDR177W	UBC1	B8	B8 - 2	32	2	1488	157408	105.78494623655914	1119	129337	115.58266309204647
YDL058W	USO1	B9	B9 - 1	33	1	176212	27806785	157.8030156856514	136559	20911022	153.1281131232654
YDL058W	USO1	B9	B9 - 2	33	2	188084	30614021	162.76781119074457	149847	23351154	155.8333099761757
YDL058W	USO1	B9	B9 - 3	33	3	114097	18035016	158.06739879225572	88903	13435928	151.13019808105463
Control-Blank	None	C1	C1 - 1	49	1	972	100211	103.0977366255144	465	49518	106.49032258064516
Control-Blank	None	C1	C1 - 2	49	2	2314	283165	122.3703543647364	1640	210060	128.08536585365854
YBR204C	LDH1	C2	C2 - 1	50	1	66045	10110001	153.07746233628586	44361	6480233	146.07950677396812
YBR204C	LDH1	C2	C2 - 2	50	2	28871	4537460	157.16324339302415	19628	2941195	149.84690238434888
YBR204C	LDH1	C2	C2 - 3	50	3	545761	89275561	163.5799571607352	362296	53524783	147.7377144655199
YAL042W	ERV46	C3	C3 - 1	51	1	106256	17118802	161.10903854841138	71633	10590391	147.84234919659934
YAL042W	ERV46	C3	C3 - 2	51	2	117741	19411778	164.86846553027408	79264	11570351	145.972332963262
YAL042W	ERV46	C3	C3 - 3	51	3	476236	82670562	173.59158484448886	324933	47945111	147.55383725260285
YBR205W	KTR3	C4	C4 - 1	52	1	119332	20774125	174.08679147253042	81191	11890792	146.45455777118153
YBR205W	KTR3	C4	C4 - 2	52	2	257918	44203538	171.3860141595391	178799	25975696	145.27875435544942
YBR205W	KTR3	C4	C4 - 3	52	3	235362	41147574	174.82675198205317	162581	23665616	145.56200294007294
YNL064C	YDJ1	C5	C5 - 1	53	1	86521	15541239	179.62389477699057	57230	8298124	144.99605102219115
YNL064C	YDJ1	C5	C5 - 2	53	2	81025	14770822	182.29956186362236	58920	8634087	146.5391547861507
YNL064C	YDJ1	C5	C5 - 3	53	3	1089467	191176974	175.47752616646488	712343	104580165	146.81152899656485
YBR207W	FTH1	C6	C6 - 1	54	1	320723	56340741	175.66791592745142	218071	32053225	146.98527085215366
YBR207W	FTH1	C6	C6 - 2	54	2	97437	16879454	173.2345412933485	66238	9669954	145.9880129230955
YBR207W	FTH1	C6	C6 - 3	54	3	112206	19684154	175.4287114771046	75630	11056366	146.19021552294063
YAL010C	MDM10	C7	C7 - 1	55	1	181030	31886420	176.13887201016405	129835	19286137	148.54343589941078
YAL010C	MDM10	C7	C7 - 2	55	2	117254	19968682	170.30277858324663	91047	13702392	150.49800652410295
YAL010C	MDM10	C7	C7 - 3	55	3	169381	28768360	169.84407932412725	131860	19880807	150.77208402851508
YBR210W	ERV15	C8	C8 - 1	56	1	121419	20484483	168.7090405949645	88976	13462537	151.3052620931487
YBR210W	ERV15	C8	C8 - 2	56	2	489150	83141072	169.97050393539814	353253	53022671	150.09828932804533
YBR210W	ERV15	C8	C8 - 3	56	3	562791	93914421	166.87264188659734	415790	63134644	151.84262247769306
YAL064W-B	YAL064W-B	C9	C9 - 1	57	1	100354	16580529	165.2204097494868	76918	11600090	150.81112353415327
YAL064W-B	YAL064W-B	C9	C9 - 2	57	2	177207	29324124	165.47949008786335	141056	21566648	152.89422640653356
YAL064W-B	YAL064W-B	C9	C9 - 3	57	3	855955	140635891	164.30290260586128	646790	96746790	149.57991001716167
YDL095W	PMT1	D1	D1 - 1	73	1	128570	19099291	148.55169168546317	89546	13119080	146.5065999597972
YDL095W	PMT1	D1	D1 - 2	73	2	202859	31004730	152.83881908123377	140056	20375326	145.47985091677614
YDL095W	PMT1	D1	D1 - 3	73	3	973097	156382589	160.70606424642148	641499	94314412	147.02191585645497
YDR229W	IVY1	D2	D2 - 1	74	1	152479	24058592	157.78298650961773	102263	15096908	147.6282526426958
YDR229W	IVY1	D2	D2 - 2	74	2	192913	29885448	154.91671375179484	128541	18819295	146.40694408787857
YDR229W	IVY1	D2	D2 - 3	74	3	203641	33047159	162.28146100245038	143269	20927339	146.0702524621516
YDL099W	BUG1	D3	D3 - 1	75	1	50776	8689407	171.13216874113755	36662	5515670	150.4465113741749
YDL099W	BUG1	D3	D3 - 2	75	2	62572	10813339	172.81434187815637	43995	6624338	150.57024661893396
YDL099W	BUG1	D3	D3 - 3	75	3	151271	26403324	174.54319730814234	104684	15640065	149.4026307745214
YDR233C	RTN1	D4	D4 - 1	76	1	191024	33267580	174.15392830220287	133066	19724607	148.23175717313214
YDR233C	RTN1	D4	D4 - 2	76	2	171288	29050508	169.60036896922142	113969	16445522	144.29820389755108
YDR233C	RTN1	D4	D4 - 3	76	3	699818	120420229	172.07363771723504	462075	67536190	146.15850240761782
YDL100C	GET3	D5	D5 - 1	77	1	173515	30663128	176.7174480592456	122966	18443426	149.9880129466682
YDL100C	GET3	D5	D5 - 2	77	2	101192	18135557	179.21927622736976	70746	10464861	147.9215927402256
YDL100C	GET3	D5	D5 - 3	77	3	1040764	185487750	178.22268064614073	656628	97549650	148.56151428205925
YDR234W	LYS4	D6	D6 - 1	78	1	2384	332470	139.45889261744966	1850	249546	134.88972972972974
YDR234W	LYS4	D6	D6 - 2	78	2	1357	197362	145.43994104642593	1091	145513	133.37580201649862
YDR234W	LYS4	D6	D6 - 3	78	3	1419	186421	131.37491190979563	1202	152931	127.23044925124792
YDL113C	ATG20	D7	D7 - 1	79	1	114239	19536096	171.0107406402367	84172	12858870	152.76897305517275
YDL113C	ATG20	D7	D7 - 2	79	2	209216	36550461	174.7020352171918	148894	22546153	151.42418767713943
YDL113C	ATG20	D7	D7 - 3	79	3	404683	69705734	172.24774453090444	293056	44269825	151.0626808528063
YDR238C	SEC26	D8	D8 - 1	80	1	205632	33644412	163.61467086834733	156217	23791517	152.29787411101225
YDR238C	SEC26	D8	D8 - 2	80	2	162665	27581057	169.55741554729045	124634	19049619	152.8444806393119
